0,1,1,1,1,1,1,1
0.01,1,1,1,1,1,1,1
0.02,0.999999999999993,1,1,1,1,1,1
0.03,0.999999999999993,0.999999999999417,0.999999999999774,0.999999999999649,0.999999999999337,0.999999999998892,0.999999999998296
0.04,0.999999989413782,0.999999999723885,0.999999998992875,0.999999998047873,0.99999999647458,0.999999993945064,0.999999990501471
0.05,0.999999989413782,0.999999944166557,0.99999983161103,0.999999641070424,0.999999358611599,0.999998926134275,0.999998289195471
0.06,0.999995972829858,0.999998083172391,0.999994660252505,0.999989136443845,0.99997865502012,0.999963598366966,0.999942220391927
0.07,0.999995972829858,0.999975892377348,0.999935077671053,0.999860860960612,0.999732458286127,0.999539164324835,0.999279600579294
0.08,0.999888501247129,0.999837664095803,0.99956850813322,0.999044789918443,0.998185664364808,0.99690886626266,0.995082654501628
0.09,0.999888501247129,0.999278695050057,0.998088978479352,0.995865402968793,0.991864276610855,0.986075538868075,0.977959166392341
0.1,0.999050970654243,0.998185435558086,0.9936483819089,0.985978759586751,0.972861002892536,0.95366273014553,0.927909763710152
0.11,0.999050970654243,0.994892323305499,0.982924683950587,0.961941084640042,0.927740094018718,0.879323938521821,0.814916448372009
0.12,0.995725796293008,0.987895628177029,0.961016693684964,0.913301543216635,0.840017652916275,0.74083444720386,0.620696110243566
0.13,0.995725796293008,0.974898261550917,0.925699997950068,0.832715348379009,0.698911408614663,0.538997562945723,0.376120846181436
0.14,0.986908908960495,0.953213611218779,0.865659260808191,0.709482556958574,0.512785417272524,0.315186919215143,0.160952497222931
0.15,0.986908908960495,0.92012970293981,0.77944657764456,0.551941664510357,0.316120984570878,0.137513961708109,0.0426666824986982
0.16,0.968894305541155,0.88645874702672,0.66789939075779,0.381149060305519,0.155203877309028,0.0401490548221461,0.00612848880751005
0.17,0.968894305541155,0.828664205725068,0.537931146172121,0.231180094262681,0.0573269836732589,0.00714907226655692,0.000398374906049548
0.18,0.938164346365862,0.756168332601823,0.40206693007642,0.115607770979282,0.0150262576263049,0.000719273465896175,1.00713190718249e-05
0.19,0.938164346365862,0.670726657395823,0.27536242235945,0.0468825558714741,0.00263670070862121,3.53542903486215e-05,8.70937346686418e-08
0.2,0.892284453439442,0.575942186333041,0.170672510075776,0.0155880250729917,0.00029261824159954,7.83792975633801e-07,2.07961758924569e-10
0.21,0.892284453439442,0.476894862939402,0.0946081489648372,0.00384020284978803,1.94515594438283e-05,7.49159023705204e-09,1.27231558622043e-13
0.22,0.830567645215855,0.403305467572529,0.0463828541663199,0.000705020617531638,7.3584637061419e-07,2.58150167908866e-11,0
0.23,0.830567645215855,0.310670628255027,0.0199047931858702,9.40767479351567e-05,1.510634495272e-08,3.07531777821168e-14,0
0.24,0.754365241423146,0.228619101961589,0.0074064707416418,9.67548684027708e-06,1.61117008623535e-10,0,0
0.25,0.754365241423146,0.16026455303659,0.00236911048576727,6.45856153003166e-07,8.58091375732783e-13,0,0
0.26,0.754365241423146,0.106751405714293,0.000646441902217076,2.94608158979415e-08,2.22044604925031e-15,0,0
0.27,0.666929587378022,0.0674136043819092,0.000149439759832504,1.01712782640817e-09,0,0,0
0.28,0.666929587378022,0.040281719790669,2.90920078303003e-05,2.0935586597659e-11,0,0,0
0.29,0.572895475223155,0.0263737710593515,4.74423682672587e-06,2.81885625952327e-13,0,0,0
0.3,0.572895475223155,0.0142495345553337,6.45166444046552e-07,2.44249065417534e-15,0,0,0
0.31,0.477518325126853,0.00725505280661809,7.28798312810142e-08,0,0,0,0
0.32,0.477518325126853,0.00347718153335497,6.81642509103852e-09,0,0,0,0
0.33,0.385858307547289,0.00156739938914963,5.2643667203256e-10,0,0,0,0
0.34,0.385858307547289,0.000664035590775103,3.3498315232805e-11,0,0,0,0
0.35,0.302093462892934,0.000334675980105392,1.75315317818558e-12,0,0,0,0
0.36,0.302093462892934,0.000127043686442119,7.53841433720481e-14,0,0,0,0
0.37,0.22908790414244,4.52717513237388e-05,2.66453525910038e-15,0,0,0,0
0.38,0.22908790414244,1.51411981104133e-05,1.11022302462516e-16,0,0,0,0
0.39,0.168258219856509,4.75235742825042e-06,0,0,0,0,0
0.4,0.168258219856509,1.39981316016335e-06,0,0,0,0,0
0.41,0.119702503214319,5.3685071521592e-07,0,0,0,0,0
0.42,0.119702503214319,1.41523296970369e-07,0,0,0,0,0
0.43,0.0825048045841612,3.50243094526803e-08,0,0,0,0,0
0.44,0.0825048045841612,8.13924028175705e-09,0,0,0,0,0
0.45,0.055111693257228,1.77663095346503e-09,0,0,0,0,0
0.46,0.055111693257228,3.6437985961868e-10,0,0,0,0,0
0.47,0.0356918108130875,1.06625819285e-10,0,0,0,0,0
0.48,0.0356918108130875,1.96275218300457e-11,0,0,0,0,0
0.49,0.0224207066881558,3.39850370068007e-12,0,0,0,0,0
0.5,0.0224207066881558,5.53779244683028e-13,0,0,0,0,0
0.51,0.0224207066881558,8.49320613838245e-14,0,0,0,0,0
0.52,0.0136677946447258,1.23234755733392e-14,0,0,0,0,0
0.53,0.0136677946447258,1.66533453693773e-15,0,0,0,0,0
0.54,0.00808984484520114,3.33066907387547e-16,0,0,0,0,0
0.55,0.00808984484520114,0,0,0,0,0,0
0.56,0.0046516403496889,0,0,0,0,0,0
0.57,0.0046516403496889,0,0,0,0,0,0
0.58,0.00259975240435217,0,0,0,0,0,0
0.59,0.00259975240435217,0,0,0,0,0,0
0.6,0.00141304208954229,0,0,0,0,0,0
0.61,0.00141304208954229,0,0,0,0,0,0
0.62,0.000747329986025891,0,0,0,0,0,0
